Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,,,,,,,,
Bollinger Band Length,5,1,30,int,Lookback period for BB,14,16,17,25,12,20,22,20,23,12,14,17,16,22,20,15,22
Bollinger Band StdDev,2,0.1,4,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),0.5998,1.6454,1.3328,2.944,3.1701,2.2017,3.3856,0.6504,0.8733,2.714,0.3803,1.7607,1.2174,3.2221,2.3652,3.4931,2.621
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0
Long Trigger (% From Lower Band),0.5,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes),0.5009,1.1981,0.681,1.5291,1.1883,0.0407,2.0,0.5423,0.6144,1.2341,0.576,0.5476,1.3315,1.9462,0.4444,1.2362,1.4812
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Short Trigger (% From Upper Band),0.5,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes),1.7431,0.1541,1.6937,2.0,0.0536,2.0,0.0,0.289,1.9968,0.3761,1.3452,1.4964,0.3514,1.8789,0.2398,1.9706,0.1978
ATR Length for Filter,26,5,20,int,ATR period for entry filter (separate from trailing stop ATR),14,8,20,16,13,9,8,7,17,13,11,18,11,5,12,16,13
Max ATR Filter (Points),4,2,10,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,8.913,10.0,7.0389,2.0,7.3863,2.0,9.3402,4.2491,7.8326,9.039,9.3626,10.0,7.5144,2.0,7.0126,2.4536,6.8986
Min ATR Filter (Points),0.5,0.1,6,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,0.1,4.633,3.5331,2.2156,3.6334,3.4686,3.9606,1.3487,1.9953,5.5994,1.2047,5.1577,3.0084,3.8545,3.5747,3.3169,2.5321
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1
Trend EMA Length,200,10,400,int,EMA Length for trend filter,387,198,35,391,337,299,278,90,128,385,391,72,161,328,249,343,385
