Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,
Bollinger Band Length,5,1,30,int,Lookback period for BB,20,20,20,27,19,28,20,21,21,23
Bollinger Band StdDev,2,0.1,4,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),1.6771,1.1954,1.4905,1.2343,1.1877,1.1512,1.4625,1.4156,1.4773,1.4645
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",1,1,0,1,1,1,1,1,1,1
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1
Long Trigger (% From Lower Band),0.5,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes),0.0258,0.0027,0.0383,0.0,0.0,0.0,0.0,0.0156,0.0219,0.0
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",1,0,0,0,0,0,0,0,0,1
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,1,1,0,0,1
Short Trigger (% From Upper Band),0.5,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes),0.0,0.0,0.0,0.0,1.121,0.0,0.2402,0.0,0.0,0.5647
ATR Length for Filter,26,5,20,int,ATR period for entry filter (separate from trailing stop ATR),15,15,14,16,16,15,15,15,15,16
Max ATR Filter (Points),4,2,10,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,6.529,6.5123,6.8828,7.7289,6.1506,7.3675,6.0178,6.8125,6.713,4.7466
Min ATR Filter (Points),0.5,0.1,6,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,5.8197,5.5937,5.627,5.7146,5.2721,4.0423,2.9531,5.7418,4.7015,3.9997
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",1,1,0,1,1,1,0,1,0,0
Trend EMA Length,200,10,400,int,EMA Length for trend filter,167,166,10,182,92,177,168,200,137,170
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,0,0,0,0,0,0,0,0,0,0
ADX Period,14,5,35,int,Lookback period for ADX calculation,5,5,5,5,5,5,24,5,5,19
Max ADX Threshold,25,10,45,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,26,26,36,25,28,25,26,23,29,25
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",1,0,0,0,0,0,0,0,0,0
