Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,
Bollinger Band Length,5,1,30,int,Lookback period for BB,27,6,19,19,15,5,22,25,28,23
Bollinger Band StdDev,2,0.1,4,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),1.0082,1.7672,2.0328,1.7071,3.7513,3.5855,0.576,3.632,1.0207,3.8713
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",1,0,1,1,1,0,0,0,0,0
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",0,0,1,1,1,1,0,1,1,0
Long Trigger (% From Lower Band),0.5,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes),0.4531,0.7191,0.452,1.6604,1.0035,0.701,0.5084,0.7236,1.2363,0.72
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",1,1,0,1,0,1,0,0,0,0
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",1,0,1,1,0,1,1,1,1,1
Short Trigger (% From Upper Band),0.5,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes),1.1681,1.184,1.7992,1.5789,1.6758,1.0847,0.9543,0.7806,0.0835,1.27
ATR Length for Filter,26,5,20,int,ATR period for entry filter (separate from trailing stop ATR),13,7,7,13,12,8,18,20,18,12
Max ATR Filter (Points),4,2,10,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,5.7842,5.2954,2.574,2.3842,9.8539,7.4663,5.2457,4.8215,6.0851,9.4346
Min ATR Filter (Points),0.5,0.1,6,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,4.7142,2.7806,3.5441,1.9844,1.5021,3.3079,3.478,3.3579,5.678,3.5532
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",0,1,1,1,1,0,1,1,1,0
Trend EMA Length,200,10,400,int,EMA Length for trend filter,67,231,324,356,74,203,300,400,237,397
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,1,1,1,0,0,0,0,1,0,1
ADX Period,14,5,35,int,Lookback period for ADX calculation,21,19,14,31,22,22,23,5,24,19
Max ADX Threshold,25,10,45,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,11,45,31,30,11,18,42,19,42,20
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",1,0,0,0,0,1,0,0,0,0
