Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9
__indicatorName,BB Strategy,,,,Strategy identifier,,,,,,,,,,
=== ENTRY CRITERIA ===,,,,,,,,,,,,,,,
Enable Long Trades,true,false,true,bool,Allow long entries,,,,,,,,,,
Enable Short Trades,true,false,true,bool,Allow short entries,,,,,,,,,,
Bollinger Band Length,5,1,30,int,Lookback period for BB,6,9,6,10,11,3,3,1,6,5
Bollinger Band StdDev,2,0.1,4,float,StdDev multiplier for BB width (Max capped at 3.0 to prevent overfitting),4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Long Entry on Wick Touch,0,0,1,int,"Enter if low touches lower band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1
Long Entry on Body in Zone,1,0,1,int,"Enter if close ≤ lower band (0=false, 1=true) - OPTIMIZABLE",0,1,0,0,0,1,1,0,1,1
Long Trigger (% From Lower Band),0.5,0,2,float,% below lower band to trigger (min 0.5% to avoid band extremes),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Short Entry on Wick Touch,0,0,1,int,"Enter if high touches upper band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1
Short Trigger (% From Upper Band),0.5,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes),2.0,2.0,2.0,2.0,2.0,2.0,0.857,2.0,2.0,2.0
ATR Length for Filter,26,5,20,int,ATR period for entry filter (separate from trailing stop ATR),5,5,5,5,5,5,5,5,5,5
Max ATR Filter (Points),4,2,10,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Min ATR Filter (Points),0.5,0.1,6,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,0.1,1.0,0.1,0.1,1.0,1.0,1.0,0.1,0.1,1.0
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1
Trend EMA Length,200,10,400,int,EMA Length for trend filter,10,10,10,10,10,10,10,10,10,10
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,1,1,1,1,1,1,1,1,1,1
ADX Period,14,5,35,int,Lookback period for ADX calculation,35,35,35,35,35,35,35,35,35,35
Max ADX Threshold,25,10,45,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,16,20,16,24,45,21,45,30,25,22
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",0,0,0,1,0,0,1,0,1,1
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),1,1,1,1,0,0,0,0,0,1
