entry_time,entry_price,direction,stop,tp,target_vwap,bars_held,highest_high,lowest_low,exit_time,exit_price,pnl,reason,cum_pnl,peak,drawdown,year_month
2020-01-08 14:19:00,3510.4,-1,3515.8565076275286,3508.4,3510.4,0,-1.0,3510.4,2020-01-08 14:26:59,3508.4,85.0,Take Profit,85.0,85.0,0.0,2020-01
2020-01-08 14:26:00,3508.0,-1,3513.4565076275285,3506.0,3508.0,0,-1.0,3508.0,2020-01-08 15:50:59,3510.6,-144.99999999999545,RTH Exit,-59.99999999999545,85.0,144.99999999999545,2020-01
2020-04-02 15:10:00,2739.06,-1,2744.5165076275284,2737.06,2739.06,0,-1.0,2739.06,2020-04-02 15:17:59,2737.06,85.0,Take Profit,25.000000000004547,85.0,59.99999999999545,2020-04
2020-04-02 15:17:00,2738.79,-1,2744.2465076275284,2736.79,2738.79,0,-1.0,2738.79,2020-04-02 15:31:59,2736.79,85.0,Take Profit,110.00000000000455,110.00000000000455,0.0,2020-04
2020-04-21 11:15:00,2982.38,1,2976.9234923724716,2984.38,2982.38,0,2982.38,999999.0,2020-04-21 11:22:59,2984.38,85.0,Take Profit,195.00000000000455,195.00000000000455,0.0,2020-04
2020-04-29 15:08:00,3208.09,-1,3213.5465076275286,3206.09,3208.09,0,-1.0,3208.09,2020-04-29 15:43:59,3213.63,-291.9999999999982,Stop Loss,-96.99999999999363,195.00000000000455,291.9999999999982,2020-04
2020-05-04 11:06:00,3072.17,-1,3077.6265076275286,3070.17,3072.17,0,-1.0,3072.17,2020-05-04 11:13:59,3079.07,-360.00000000000455,Stop Loss,-456.9999999999982,195.00000000000455,652.0000000000027,2020-05
2020-05-15 12:10:00,3103.49,-1,3108.9465076275283,3101.49,3103.49,0,-1.0,3103.49,2020-05-15 12:17:59,3101.49,85.0,Take Profit,-371.9999999999982,195.00000000000455,567.0000000000027,2020-05
2020-05-20 14:47:00,3232.87,-1,3238.3265076275284,3230.87,3232.87,0,-1.0,3232.87,2020-05-20 15:22:59,3230.87,85.0,Take Profit,-286.9999999999982,195.00000000000455,482.00000000000273,2020-05
2020-07-01 11:17:00,3446.1,-1,3451.5565076275284,3444.1,3446.1,0,-1.0,3446.1,2020-07-01 11:24:59,3453.92,-406.0000000000082,Stop Loss,-693.0000000000064,195.00000000000455,888.0000000000109,2020-07
2020-07-01 11:31:00,3451.09,-1,3456.5465076275286,3449.09,3451.09,0,-1.0,3451.09,2020-07-01 11:52:59,3449.09,85.0,Take Profit,-608.0000000000064,195.00000000000455,803.0000000000109,2020-07
2020-07-01 11:52:00,3448.04,-1,3453.4965076275284,3446.04,3448.04,0,-1.0,3448.04,2020-07-01 11:59:59,3446.04,85.0,Take Profit,-523.0000000000064,195.00000000000455,718.0000000000109,2020-07
2020-07-01 11:59:00,3441.11,-1,3446.5665076275286,3439.11,3441.11,0,-1.0,3441.11,2020-07-01 12:06:59,3439.11,85.0,Take Profit,-438.00000000000637,195.00000000000455,633.0000000000109,2020-07
2020-07-14 10:40:00,3512.07,-1,3517.5265076275286,3510.07,3512.07,0,-1.0,3512.07,2020-07-14 10:47:59,3510.07,85.0,Take Profit,-353.00000000000637,195.00000000000455,548.0000000000109,2020-07
