entry_time,entry_price,direction,stop,tp,target_vwap,bars_held,highest_high,lowest_low,exit_time,exit_price,pnl,reason,cum_pnl,peak,drawdown,year_month
2020-08-14 10:01:00,3736.29,-1,3746.2683692515,3731.30081537425,3736.29,0,-1.0,3736.29,2020-08-14 10:43:59,3732.03,197.99999999998818,VWAP Exit,197.99999999998818,197.99999999998818,0.0,2020-08
2020-09-22 13:04:00,3669.56,-1,3679.5383692515,3664.57081537425,3669.56,0,-1.0,3669.56,2020-09-22 14:56:59,3664.57081537425,234.45923128750565,Take Profit,432.4592312874938,432.4592312874938,0.0,2020-09
2020-09-22 14:56:00,3664.84,-1,3674.8183692515004,3659.85081537425,3664.84,0,-1.0,3664.84,2020-09-22 15:45:59,3668.9,-217.99999999999727,RTH Exit,214.45923128749655,432.4592312874938,217.99999999999727,2020-09
2020-10-02 10:15:00,3728.78,-1,3738.7583692515004,3723.79081537425,3728.78,0,-1.0,3728.78,2020-10-02 10:43:59,3723.79081537425,234.45923128750565,Take Profit,448.9184625750022,448.9184625750022,0.0,2020-10
2020-10-02 10:43:00,3724.61,-1,3734.5883692515004,3719.62081537425,3724.61,0,-1.0,3724.61,2020-10-02 11:18:59,3719.62081537425,234.45923128750565,Take Profit,683.3776938625078,683.3776938625078,0.0,2020-10
2020-10-12 15:22:00,3927.0,-1,3936.9783692515,3922.01081537425,3927.0,0,-1.0,3927.0,2020-10-12 15:50:59,3926.89,-9.499999999993634,RTH Exit,673.8776938625142,683.3776938625078,9.499999999993634,2020-10
2020-10-21 15:05:00,3814.46,1,3804.4816307485,3819.44918462575,3814.46,0,3814.46,999999.0,2020-10-21 15:40:59,3795.78,-948.9999999999918,Stop Loss,-275.1223061374776,683.3776938625078,958.4999999999854,2020-10
2020-10-28 14:09:00,3648.77,1,3638.7916307484998,3653.75918462575,3648.77,0,3648.77,999999.0,2020-10-28 15:47:59,3648.32,-37.499999999990905,RTH Exit,-312.6223061374685,683.3776938625078,995.9999999999764,2020-10
2020-10-30 11:25:00,3605.4,1,3595.4216307485,3610.38918462575,3605.4,0,3605.4,999999.0,2020-10-30 11:39:59,3597.56,-407.0000000000073,Stop Loss,-719.6223061374758,683.3776938625078,1402.9999999999836,2020-10
2020-10-30 11:46:00,3608.45,1,3598.4716307484996,3613.43918462575,3608.45,0,3608.45,999999.0,2020-10-30 12:00:59,3613.43918462575,234.45923128750565,Take Profit,-485.16307484997014,683.3776938625078,1168.540768712478,2020-10
2020-11-06 10:57:00,3895.03,-1,3905.0083692515004,3890.04081537425,3895.03,0,-1.0,3895.03,2020-11-08 13:00:59,3915.66,-1046.4999999999827,Stop Loss,-1531.6630748499529,683.3776938625078,2215.0407687124607,2020-11
2020-11-10 10:37:00,3937.01,-1,3946.9883692515004,3932.02081537425,3937.01,0,-1.0,3937.01,2020-11-10 13:04:59,3948.46,-587.4999999999909,Stop Loss,-2119.1630748499438,683.3776938625078,2802.5407687124516,2020-11
