entry_time,entry_price,direction,stop,tp,target_vwap,bars_held,highest_high,lowest_low,exit_time,exit_price,pnl,reason,cum_pnl,peak,drawdown,year_month
2020-01-27 15:11:00,3498.3,-1,3508.2783692515004,3493.31081537425,3498.3,0,-1.0,3498.3,2020-01-27 15:46:59,3495.8,110.0,RTH Exit,110.0,110.0,0.0,2020-01
2020-02-26 10:42:00,3360.2,1,3350.2216307484996,3365.18918462575,3360.2,0,3360.2,999999.0,2020-02-26 11:03:59,3348.3,-609.9999999999818,Stop Loss,-499.9999999999818,110.0,609.9999999999818,2020-02
2020-03-05 13:18:00,3255.0,1,3245.0216307485,3259.98918462575,3255.0,0,3255.0,999999.0,2020-03-05 14:14:59,3259.98918462575,234.45923128750565,Take Profit,-265.54076871247617,110.0,375.54076871247617,2020-03
2020-03-05 14:14:00,3262.3,1,3252.3216307485,3267.2891846257503,3262.3,0,3262.3,999999.0,2020-03-05 14:21:59,3267.2891846257503,234.45923128750565,Take Profit,-31.08153742497052,110.0,141.08153742497052,2020-03
2020-03-06 10:25:00,3148.8,1,3138.8216307485,3153.7891846257503,3148.8,0,3148.8,999999.0,2020-03-06 10:32:59,3161.3,610.0,Stop Loss,578.9184625750295,578.9184625750295,0.0,2020-03
2020-03-10 10:33:00,3004.09,1,2994.1116307485,3009.0791846257503,3004.09,0,3004.09,999999.0,2020-03-10 10:40:59,3009.0791846257503,234.45923128750565,Take Profit,813.3776938625351,813.3776938625351,0.0,2020-03
2020-03-10 10:54:00,3037.05,-1,3047.0283692515004,3032.06081537425,3037.05,0,-1.0,3037.05,2020-03-10 11:01:59,3032.06081537425,234.45923128750565,Take Profit,1047.8369251500408,1047.8369251500408,0.0,2020-03
2020-03-11 10:35:00,2947.06,1,2937.0816307484997,2952.04918462575,2947.06,0,2947.06,999999.0,2020-03-11 10:42:59,2952.04918462575,234.45923128750565,Take Profit,1282.2961564375464,1282.2961564375464,0.0,2020-03
2020-03-11 10:42:00,2957.82,1,2947.8416307485,2962.8091846257503,2957.82,0,2957.82,999999.0,2020-03-11 10:49:59,2941.3,-840.9999999999991,Stop Loss,441.2961564375473,1282.2961564375464,840.9999999999991,2020-03
2020-03-11 11:31:00,2939.8,1,2929.8216307485,2944.7891846257503,2939.8,0,2939.8,999999.0,2020-03-11 11:38:59,2944.7891846257503,234.45923128750565,Take Profit,675.755387725053,1282.2961564375464,606.5407687124934,2020-03
2020-03-11 11:38:00,2952.71,1,2942.7316307485,2957.69918462575,2952.71,0,2952.71,999999.0,2020-03-11 11:45:59,2957.69918462575,234.45923128750565,Take Profit,910.2146190125586,1282.2961564375464,372.0815374249878,2020-03
2020-03-11 11:45:00,2953.25,1,2943.2716307485,2958.23918462575,2953.25,0,2953.25,999999.0,2020-03-11 11:52:59,2951.52,-101.50000000000091,Stop Loss,808.7146190125577,1282.2961564375464,473.5815374249887,2020-03
2020-03-11 11:52:00,2953.52,1,2943.5416307484998,2958.50918462575,2953.52,0,2953.52,999999.0,2020-03-11 11:59:59,2944.8,-450.99999999999,Stop Loss,357.7146190125677,1282.2961564375464,924.5815374249787,2020-03
