entry_time,entry_price,direction,stop,tp,target_vwap,bars_held,highest_high,lowest_low,exit_time,exit_price,pnl,reason,cum_pnl,peak,drawdown,year_month
2020-07-17 11:04:00,3566.67,-1,3572.1265076275286,3564.67,3566.67,0,-1.0,3566.67,2020-07-17 11:11:59,3568.39,-100.99999999999,Stop Loss,-100.99999999999,-100.99999999999,0.0,2020-07
2020-07-17 11:11:00,3566.39,-1,3571.8465076275284,3564.39,3566.39,0,-1.0,3566.39,2020-07-17 11:25:59,3572.27,-309.00000000000546,Stop Loss,-409.99999999999545,-100.99999999999,309.00000000000546,2020-07
2020-07-17 11:39:00,3571.94,-1,3577.3965076275285,3569.94,3571.94,0,-1.0,3571.94,2020-07-17 11:46:59,3569.94,85.0,Take Profit,-324.99999999999545,-100.99999999999,224.00000000000546,2020-07
2020-07-17 11:46:00,3569.44,-1,3574.8965076275285,3567.44,3569.44,0,-1.0,3569.44,2020-07-17 11:53:59,3567.44,85.0,Take Profit,-239.99999999999545,-100.99999999999,139.00000000000546,2020-07
2020-07-17 11:53:00,3565.84,-1,3571.2965076275286,3563.84,3565.84,0,-1.0,3565.84,2020-07-17 12:14:59,3563.84,85.0,Take Profit,-154.99999999999545,-100.99999999999,54.00000000000546,2020-07
2020-08-10 11:10:00,3718.83,-1,3724.2865076275284,3716.83,3718.83,0,-1.0,3718.83,2020-08-10 11:24:59,3716.83,85.0,Take Profit,-69.99999999999545,-69.99999999999545,0.0,2020-08
2020-08-21 10:43:00,3759.02,-1,3764.4765076275285,3757.02,3759.02,0,-1.0,3759.02,2020-08-21 11:04:59,3764.35,-281.49999999999636,Stop Loss,-351.4999999999918,-69.99999999999545,281.49999999999636,2020-08
2020-08-21 12:56:00,3760.13,-1,3765.5865076275286,3758.13,3760.13,0,-1.0,3760.13,2020-08-23 14:03:00,3768.06,-411.4999999999918,Gap: Session Break,-762.9999999999836,-69.99999999999545,692.9999999999882,2020-08
2020-08-26 14:58:00,3852.15,-1,3857.6065076275286,3850.15,3852.15,0,-1.0,3852.15,2020-08-26 15:47:59,3853.43,-78.99999999998727,RTH Exit,-841.9999999999709,-69.99999999999545,771.9999999999754,2020-08
2020-09-22 14:21:00,3667.06,-1,3672.5165076275284,3665.06,3667.06,0,-1.0,3667.06,2020-09-22 14:35:59,3672.12,-267.99999999999727,Stop Loss,-1109.9999999999682,-69.99999999999545,1039.9999999999727,2020-09
